subgroup_family,subgroup_name,n_rows,n_users,mean_history_cycles,labeled_cycle_rate,mean_target_cycle_len,subgroup_version
cycle_length_level_group,long,6,5,1.1666666666666667,0.6666666666666666,30.333333333333332,v1
cycle_length_level_group,short,7,5,1.5714285714285714,0.5714285714285714,28.428571428571427,v1
cycle_length_level_group,typical,58,28,1.9827586206896552,0.7586206896551724,28.82758620689655,v1
cycle_variability_group,high-variability,2,1,4.5,1.0,32.0,v1
cycle_variability_group,low-variability,30,17,2.566666666666667,0.7666666666666667,27.6,v1
cycle_variability_group,medium-variability,6,6,2.3333333333333335,0.6666666666666666,30.833333333333332,v1
ovulatory_status_group,consistently-ovulatory,15,10,2.6,0.8666666666666667,29.133333333333333,v1
ovulatory_status_group,frequently-anovulatory,4,3,2.25,0.75,26.5,v1
ovulatory_status_group,mixed-ovulatory,19,11,2.736842105263158,0.6842105263157895,28.105263157894736,v1
stable_length_profile,short-stable,2,2,2.0,0.5,18.0,v1
stable_length_profile,typical-stable,28,15,2.607142857142857,0.7857142857142857,28.285714285714285,v1
